genre,tmdbId,title,vi,Ri,WR_g,m_g,C_g
(No Genre),598,City of God,69,4.297101449275362,4.137471252242026,13.0,3.2902032833727834
(No Genre),1779,Roger & Me,42,4.392857142857143,4.132229866979022,13.0,3.2902032833727834
(No Genre),103,Taxi Driver,118,4.22457627118644,4.131852234227833,13.0,3.2902032833727834
(No Genre),1578,Raging Bull,50,4.35,4.131311788632479,13.0,3.2902032833727834
(No Genre),120,The Lord of the Rings: The Fellowship of the Ring,200,4.1825,4.128040575980498,13.0,3.2902032833727834
(No Genre),550,Fight Club,202,4.178217821782178,4.124523919459749,13.0,3.2902032833727834
(No Genre),769,GoodFellas,131,4.202290076335878,4.11994890752671,13.0,3.2902032833727834
(No Genre),539,Psycho,77,4.253246753246753,4.114140474264957,13.0,3.2902032833727834
(No Genre),935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,105,4.20952380952381,4.108242734608866,13.0,3.2902032833727834
(No Genre),274,The Silence of the Lambs,304,4.1381578947368425,4.103383730863869,13.0,3.2902032833727834
(No Genre),654,On the Waterfront,29,4.448275862068965,4.089824825805861,13.0,3.2902032833727834
(No Genre),346,Seven Samurai,54,4.277777777777778,4.086158846027555,13.0,3.2902032833727834
(No Genre),500,Reservoir Dogs,132,4.162878787878788,4.084638915061008,13.0,3.2902032833727834
(No Genre),1422,The Departed,84,4.2023809523809526,4.080130336946868,13.0,3.2902032833727834
(No Genre),15,Citizen Kane,85,4.2,4.07931268044741,13.0,3.2902032833727834
(No Genre),426,Vertigo,69,4.22463768115942,4.076495642485929,13.0,3.2902032833727834
(No Genre),981,The Philadelphia Story,37,4.351351351351352,4.075452853676924,13.0,3.2902032833727834
(No Genre),489,Good Will Hunting,157,4.140127388535032,4.075133192257919,13.0,3.2902032833727834
(No Genre),104,Run Lola Run,80,4.2,4.072824114880067,13.0,3.2902032833727834
(No Genre),122,The Lord of the Rings: The Return of the King,176,4.127840909090909,4.070225622665853,13.0,3.2902032833727834
(No Genre),627,Trainspotting,124,4.141129032258065,4.06038425316676,13.0,3.2902032833727834
(No Genre),595,To Kill a Mockingbird,80,4.18125,4.056695082622002,13.0,3.2902032833727834
(No Genre),279,Amadeus,100,4.155,4.055510112246426,13.0,3.2902032833727834
(No Genre),903,Cool Hand Luke,46,4.271739130434782,4.055468520065189,13.0,3.2902032833727834
(No Genre),3082,Modern Times,32,4.359375,4.050503170752138,13.0,3.2902032833727834
(No Genre),28,Apocalypse Now,112,4.138392857142857,4.05018114147077,13.0,3.2902032833727834
(No Genre),11216,Cinema Paradiso,46,4.260869565217392,4.0469939437940035,13.0,3.2902032833727834
(No Genre),11645,Ran,26,4.423076923076923,4.045452376508877,13.0,3.2902032833727834
(No Genre),599,Sunset Boulevard,39,4.294871794871795,4.043704666997042,13.0,3.2902032833727834
(No Genre),642,Butch Cassidy and the Sundance Kid,75,4.173333333333333,4.042870939589161,13.0,3.2902032833727834
(No Genre),872,Singin' in the Rain,64,4.1953125,4.042501853036963,13.0,3.2902032833727834
(No Genre),2118,L.A. Confidential,125,4.12,4.041830744085842,13.0,3.2902032833727834
(No Genre),532,A Close Shave,62,4.193548387096774,4.036968569117949,13.0,3.2902032833727834
(No Genre),38,Eternal Sunshine of the Spotless Mind,106,4.122641509433962,4.031702879696187,13.0,3.2902032833727834
(No Genre),947,Lawrence of Arabia,51,4.215686274509804,4.027697541935097,13.0,3.2902032833727834
(No Genre),13,Forrest Gump,341,4.05425219941349,4.026193905886571,13.0,3.2902032833727834
(No Genre),1585,It's a Wonderful Life,72,4.152777777777778,4.020854619809955,13.0,3.2902032833727834
(No Genre),194,Amélie,125,4.096,4.02009161365106,13.0,3.2902032833727834
(No Genre),37247,The Graduate,89,4.123595505617978,4.017378849841629,13.0,3.2902032833727834
(No Genre),1892,Return of the Jedi,217,4.059907834101383,4.016402794277592,13.0,3.2902032833727834
(No Genre),121,The Lord of the Rings: The Two Towers,188,4.0611702127659575,4.0113066800191355,13.0,3.2902032833727834
(No Genre),235,Stand by Me,112,4.09375,4.0101811414707695,13.0,3.2902032833727834
(No Genre),3078,It Happened One Night,25,4.38,4.007174807469637,13.0,3.2902032833727834
(No Genre),625,The Killing Fields,35,4.271428571428571,4.005680055913462,13.0,3.2902032833727834
(No Genre),1092,The Third Man,38,4.25,4.005345934977377,13.0,3.2902032833727834
(No Genre),10218,Swingers,42,4.226190476190476,4.004957139706295,13.0,3.2902032833727834
(No Genre),100,"Lock, Stock and Two Smoking Barrels",74,4.128378378378378,4.003133823952255,13.0,3.2902032833727834
(No Genre),101,Leon: The Professional,132,4.071969696969697,4.001880294371354,13.0,3.2902032833727834
(No Genre),826,The Bridge on the River Kwai,65,4.138461538461539,3.997085162613413,13.0,3.2902032833727834
(No Genre),10403,The Player,44,4.204545454545454,3.9960112751551957,13.0,3.2902032833727834
(No Genre),3090,The Treasure of the Sierra Madre,30,4.3,3.994712620554562,13.0,3.2902032833727834
(No Genre),129,Spirited Away,63,4.134920634920635,3.990429508997977,13.0,3.2902032833727834
(No Genre),807,Se7en,201,4.034825870646766,3.989591788242272,13.0,3.2902032833727834
(No Genre),387,Das Boot,51,4.166666666666667,3.988635041935097,13.0,3.2902032833727834
(No Genre),423,The Pianist,61,4.131147540983607,3.983414090322246,13.0,3.2902032833727834
(No Genre),16869,Inglourious Basterds,59,4.135593220338983,3.9829533706089744,13.0,3.2902032833727834
(No Genre),703,Annie Hall,80,4.09375,3.981426265417701,13.0,3.2902032833727834
(No Genre),78,Blade Runner,146,4.037671232876712,3.976557501156265,13.0,3.2902032833727834
(No Genre),11031,This Is Spinal Tap,82,4.085365853658536,3.97655413351417,13.0,3.2902032833727834
(No Genre),105,Back to the Future,226,4.015486725663717,3.976036161857097,13.0,3.2902032833727834
(No Genre),531,The Wrong Trousers,75,4.093333333333334,3.9746891214073434,13.0,3.2902032833727834
(No Genre),745,The Sixth Sense,193,4.018134715025907,3.9721972945817776,13.0,3.2902032833727834
(No Genre),27205,Inception,111,4.04954954954955,3.9699406668052113,13.0,3.2902032833727834
(No Genre),280,Terminator 2: Judgment Day,237,4.006329113924051,3.9690905707353847,13.0,3.2902032833727834
(No Genre),3034,Young Frankenstein,74,4.087837837837838,3.9686510653315654,13.0,3.2902032833727834
(No Genre),12445,Harry Potter and the Deathly Hallows: Part 2,34,4.220588235294118,3.9632477166775786,13.0,3.2902032833727834
(No Genre),1124,The Prestige,52,4.125,3.958040656674557,13.0,3.2902032833727834
(No Genre),89,Indiana Jones and the Last Crusade,147,4.017006802721088,3.957954016774038,13.0,3.2902032833727834
(No Genre),10683,Happiness,23,4.326086956521739,3.9520178523290603,13.0,3.2902032833727834
(No Genre),30197,The Producers,33,4.212121212121212,3.9515791887792644,13.0,3.2902032833727834
(No Genre),157336,Interstellar,43,4.151162790697675,3.951297190782968,13.0,3.2902032833727834
(No Genre),600,Full Metal Jacket,104,4.033653846153846,3.951048228067061,13.0,3.2902032833727834
(No Genre),3083,Mr. Smith Goes to Washington,31,4.225806451612903,3.9493782428146864,13.0,3.2902032833727834
(No Genre),982,The Manchurian Candidate,49,4.122448979591836,3.9479458497394546,13.0,3.2902032833727834
(No Genre),107,Snatch,95,4.036842105263158,3.946968913739317,13.0,3.2902032833727834
(No Genre),694,The Shining,101,4.02970297029703,3.9453740586302293,13.0,3.2902032833727834
(No Genre),73,American History X,107,4.0233644859813085,3.943938689032052,13.0,3.2902032833727834
(No Genre),9377,Ferris Bueller's Day Off,133,4.007518796992481,3.94364823756059,13.0,3.2902032833727834
(No Genre),637,Life Is Beautiful,99,4.025252525252525,3.9399343096771977,13.0,3.2902032833727834
(No Genre),10149,Smoke,24,4.291666666666667,3.9398011536174646,13.0,3.2902032833727834
(No Genre),11368,Blood Simple,24,4.291666666666667,3.9398011536174646,13.0,3.2902032833727834
(No Genre),592,The Conversation,23,4.304347826086956,3.938128963440171,13.0,3.2902032833727834
(No Genre),7984,In the Name of the Father,31,4.209677419354839,3.93801460645105,13.0,3.2902032833727834
(No Genre),9451,Election,79,4.044303797468355,3.9377461161287632,13.0,3.2902032833727834
(No Genre),141,Donnie Darko,93,4.026881720430108,3.936534364941946,13.0,3.2902032833727834
(No Genre),850,A Christmas Story,75,4.046666666666667,3.934916394134616,13.0,3.2902032833727834
(No Genre),185,A Clockwork Orange,121,4.0,3.931139124506315,13.0,3.2902032833727834
(No Genre),115,The Big Lebowski,120,3.995833333333333,3.926861975066512,13.0,3.2902032833727834
(No Genre),37853,Mister Roberts,17,4.411764705882353,3.9257547561282062,13.0,3.2902032833727834
(No Genre),348,Alien,127,3.9881889763779528,3.92337601917033,13.0,3.2902032833727834
(No Genre),10548,When We Were Kings,16,4.4375,3.9231945753050406,13.0,3.2902032833727834
(No Genre),770,Gone with the Wind,68,4.044117647058823,3.923119045479582,13.0,3.2902032833727834
(No Genre),1726,Iron Man,75,4.026666666666666,3.917870939589161,13.0,3.2902032833727834
(No Genre),8392,My Neighbor Totoro,26,4.230769230769231,3.917247248303748,13.0,3.2902032833727834
(No Genre),110,Three Colors: Red,32,4.171875,3.917169837418804,13.0,3.2902032833727834
(No Genre),128,Princess Mononoke,38,4.131578947368421,3.9171106408597294,13.0,3.2902032833727834
(No Genre),98,Gladiator,161,3.9658385093167703,3.9153600154244037,13.0,3.2902032833727834
(No Genre),5503,The Fugitive,213,3.9530516431924885,3.9149231977161336,13.0,3.2902032833727834
(No Genre),2108,The Breakfast Club,117,3.982905982905983,3.9136357129526633,13.0,3.2902032833727834
(No Genre),55,Amores perros,30,4.183333333333334,3.913317271717353,13.0,3.2902032833727834
(No Genre),845,Strangers on a Train,23,4.260869565217392,3.9103511856623943,13.0,3.2902032833727834
(No Genre),197,Braveheart,228,3.9451754385964914,3.9098449903894035,13.0,3.2902032833727834
(No Genre),14275,Hoop Dreams,61,4.040983606557377,3.909089765997922,13.0,3.2902032833727834
(No Genre),10191,How to Train Your Dragon,33,4.151515151515151,3.9081009279096994,13.0,3.2902032833727834
(No Genre),218,The Terminator,158,3.9588607594936707,3.9080271501979307,13.0,3.2902032833727834
(No Genre),4935,Howl's Moving Castle,27,4.203703703703703,3.9068160670961545,13.0,3.2902032833727834
(No Genre),996,Double Indemnity,32,4.15625,3.906058726307693,13.0,3.2902032833727834
(No Genre),3085,His Girl Friday,26,4.211538461538462,3.904426735483235,13.0,3.2902032833727834
(No Genre),752,V for Vendetta,73,4.013698630136986,3.904333054463327,13.0,3.2902032833727834
(No Genre),68,Brazil,62,4.032258064516129,3.9036352357846162,13.0,3.2902032833727834
(No Genre),857,Saving Private Ryan,191,3.945026178010471,3.9032972680580698,13.0,3.2902032833727834
(No Genre),9281,Witness,56,4.044642857142857,3.9025020678818287,13.0,3.2902032833727834
(No Genre),892,Delicatessen,30,4.166666666666667,3.901689364740609,13.0,3.2902032833727834
(No Genre),11202,Patton,40,4.1,3.901370616676343,13.0,3.2902032833727834
(No Genre),1934,Shakespeare in Love,121,3.9669421487603307,3.901288378237658,13.0,3.2902032833727834
(No Genre),380,Rain Man,119,3.966386554621849,3.899792747604895,13.0,3.2902032833727834
(No Genre),3063,Duck Soup,34,4.132352941176471,3.8994179294435365,13.0,3.2902032833727834
(No Genre),26564,Crumb,33,4.136363636363637,3.8972313626923083,13.0,3.2902032833727834
(No Genre),11562,Crimes and Misdemeanors,28,4.178571428571429,3.8968937239962487,13.0,3.2902032833727834
(No Genre),192,The Name of the Rose,23,4.239130434782608,3.896462296773505,13.0,3.2902032833727834
(No Genre),492,Being John Malkovich,126,3.9563492063492065,3.894047789092419,13.0,3.2902032833727834
(No Genre),14412,Body Heat,22,4.25,3.893504076681319,13.0,3.2902032833727834
(No Genre),18203,Big Night,22,4.25,3.893504076681319,13.0,3.2902032833727834
(No Genre),108,Three Colors: Blue,31,4.145161290322581,3.8925600609965048,13.0,3.2902032833727834
(No Genre),9277,The Sting,63,4.015873015873016,3.8917452984716605,13.0,3.2902032833727834
(No Genre),2292,Clerks,109,3.963302752293578,3.891579038392182,13.0,3.2902032833727834
(No Genre),640,Catch Me If You Can,99,3.9696969696969697,3.890827166820055,13.0,3.2902032833727834
(No Genre),630,The Wizard of Oz,117,3.9572649572649574,3.8905587898757403,13.0,3.2902032833727834
(No Genre),832,M,21,4.261904761904762,3.8903718436425345,13.0,3.2902032833727834
(No Genre),530,A Grand Day Out,39,4.089743589743589,3.889858513150888,13.0,3.2902032833727834
(No Genre),10445,Shadowlands,25,4.2,3.888753754838058,13.0,3.2902032833727834
(No Genre),10774,Network,38,4.092105263157895,3.8876988761538467,13.0,3.2902032833727834
(No Genre),10193,Toy Story 3,42,4.071428571428571,3.886775321524476,13.0,3.2902032833727834
(No Genre),10451,Eat Drink Man Woman,24,4.208333333333333,3.8857470995634102,13.0,3.2902032833727834
(No Genre),623,A Fish Called Wanda,89,3.9719101123595504,3.8850259086651584,13.0,3.2902032833727834
(No Genre),63,Twelve Monkeys,196,3.923469387755102,3.8840796300662497,13.0,3.2902032833727834
(No Genre),453,A Beautiful Mind,114,3.9517543859649122,3.884036556565718,13.0,3.2902032833727834
(No Genre),77338,The Intouchables,27,4.166666666666667,3.881816067096155,13.0,3.2902032833727834
(No Genre),13466,October Sky,35,4.1,3.8806800559134618,13.0,3.2902032833727834
(No Genre),10162,Waking Ned,30,4.133333333333334,3.8784335507871206,13.0,3.2902032833727834
(No Genre),1245,The Remains of the Day,46,4.043478260869565,3.8775024183702747,13.0,3.2902032833727834
(No Genre),243,High Fidelity,88,3.960227272727273,3.8739865612261997,13.0,3.2902032833727834
(No Genre),205596,The Imitation Game,32,4.109375,3.8727253929743597,13.0,3.2902032833727834
(No Genre),24137,An Ideal Husband,20,4.25,3.871898263146854,13.0,3.2902032833727834
(No Genre),3116,Midnight Cowboy,39,4.064102564102564,3.8706277439201187,13.0,3.2902032833727834
(No Genre),9323,Ghost in the Shell,27,4.148148148148148,3.8693160670961544,13.0,3.2902032833727834
(No Genre),396,Who's Afraid of Virginia Woolf?,23,4.195652173913044,3.8686845189957273,13.0,3.2902032833727834
(No Genre),10217,The Sweet Hereafter,23,4.195652173913044,3.8686845189957273,13.0,3.2902032833727834
(No Genre),838,American Graffiti,38,4.065789473684211,3.8680910330165923,13.0,3.2902032833727834
(No Genre),11787,Harvey,19,4.2631578947368425,3.8678950838701933,13.0,3.2902032833727834
(No Genre),17654,District 9,53,4.009433962264151,3.8677673133916084,13.0,3.2902032833727834
(No Genre),975,Paths of Glory,15,4.366666666666666,3.8668800958516494,13.0,3.2902032833727834
(No Genre),7345,There Will Be Blood,26,4.153846153846154,3.865965197021697,13.0,3.2902032833727834
(No Genre),687,Dead Man Walking,104,3.9375,3.8655781425969757,13.0,3.2902032833727834
(No Genre),568,Apollo 13,200,3.9025,3.865129777858433,13.0,3.2902032833727834
(No Genre),679,Aliens,125,3.924,3.864294512201784,13.0,3.2902032833727834
(No Genre),524,Casino,88,3.9488636363636362,3.8640855711271898,13.0,3.2902032833727834
(No Genre),106646,The Wolf of Wall Street,29,4.120689655172414,3.8636343496153858,13.0,3.2902032833727834
(No Genre),10549,Hamlet,25,4.16,3.8624379653643732,13.0,3.2902032833727834
(No Genre),11561,Sleeper,39,4.051282051282051,3.861012359304734,13.0,3.2902032833727834
(No Genre),1051,The French Connection,46,4.021739130434782,3.860553265827901,13.0,3.2902032833727834
(No Genre),17431,Moon,28,4.125,3.86030835814259,13.0,3.2902032833727834
(No Genre),11971,Much Ado About Nothing,60,3.9833333333333334,3.859899214847208,13.0,3.2902032833727834
(No Genre),26748,Lone Star,35,4.071428571428571,3.8598467225801283,13.0,3.2902032833727834
(No Genre),6977,No Country for Old Men,49,4.010204081632653,3.8592361723200996,13.0,3.2902032833727834
(No Genre),2062,Ratatouille,59,3.983050847457627,3.857953370608975,13.0,3.2902032833727834
(No Genre),187,Sin City,80,3.95,3.857770351439206,13.0,3.2902032833727834
(No Genre),793,Blue Velvet,41,4.036585365853658,3.856900790441596,13.0,3.2902032833727834
(No Genre),4543,The Meaning of Life,37,4.054054054054054,3.8554528536769235,13.0,3.2902032833727834
(No Genre),11545,Rushmore,68,3.963235294117647,3.8552178109116815,13.0,3.2902032833727834
(No Genre),223,Rebecca,23,4.173913043478261,3.854795630106838,13.0,3.2902032833727834
(No Genre),9434,Grosse Pointe Blank,64,3.96875,3.8541901647252756,13.0,3.2902032833727834
(No Genre),12162,The Hurt Locker,26,4.134615384615385,3.853144684201184,13.0,3.2902032833727834
(No Genre),15121,The Sound of Music,80,3.94375,3.852394007353185,13.0,3.2902032833727834
(No Genre),1480,Touch of Evil,19,4.2368421052631575,3.8522700838701933,13.0,3.2902032833727834
(No Genre),24428,The Avengers,46,4.010869565217392,3.8520786895567154,13.0,3.2902032833727834
(No Genre),497,The Green Mile,103,3.9223300970873787,3.851488298998674,13.0,3.2902032833727834
(No Genre),10705,Henry V,22,4.181818181818182,3.8506469338241764,13.0,3.2902032833727834
(No Genre),311,Once Upon a Time in America,22,4.181818181818182,3.8506469338241764,13.0,3.2902032833727834
(No Genre),1640,Crash,48,4.0,3.848731847276167,13.0,3.2902032833727834
(No Genre),1542,Office Space,106,3.9150943396226414,3.8468289301163545,13.0,3.2902032833727834
(No Genre),378,Raising Arizona,70,3.95,3.8466583455885086,13.0,3.2902032833727834
(No Genre),1372,Blood Diamond,37,4.04054054054054,3.8454528536769237,13.0,3.2902032833727834
(No Genre),902,The City of Lost Children,40,4.025,3.844766843091438,13.0,3.2902032833727834
(No Genre),4808,Charade,27,4.111111111111111,3.8443160670961545,13.0,3.2902032833727834
(No Genre),10331,Night of the Living Dead,27,4.111111111111111,3.8443160670961545,13.0,3.2902032833727834
(No Genre),862,Toy Story,247,3.8724696356275303,3.8433563180147927,13.0,3.2902032833727834
(No Genre),99,All About My Mother,20,4.2,3.8415952328438236,13.0,3.2902032833727834
(No Genre),2503,The Bourne Ultimatum,61,3.959016393442623,3.841522198430354,13.0,3.2902032833727834
(No Genre),4584,Sense and Sensibility,86,3.9244186046511627,3.8411378048873352,13.0,3.2902032833727834
(No Genre),11010,The Postman,45,4.0,3.8409076324801066,13.0,3.2902032833727834
(No Genre),968,Dog Day Afternoon,29,4.086206896551724,3.839824825805862,13.0,3.2902032833727834
(No Genre),239,Some Like It Hot,66,3.946969696969697,3.838894211187926,13.0,3.2902032833727834
(No Genre),639,When Harry Met Sally...,87,3.9195402298850577,3.837726426838462,13.0,3.2902032833727834
(No Genre),490,The Seventh Seal,16,4.28125,3.836987678753317,13.0,3.2902032833727834
(No Genre),144,Wings of Desire,19,4.2105263157894735,3.8366450838701933,13.0,3.2902032833727834
(No Genre),109,Three Colors: White,22,4.159090909090909,3.836361219538462,13.0,3.2902032833727834
(No Genre),10322,Being There,28,4.089285714285714,3.835918114240151,13.0,3.2902032833727834
(No Genre),596,The Grapes of Wrath,31,4.064516129032258,3.8357418791783227,13.0,3.2902032833727834
(No Genre),37165,The Truman Show,137,3.886861313868613,3.835150951225641,13.0,3.2902032833727834
(No Genre),696,Manhattan,54,3.962962962962963,3.8324275027439727,13.0,3.2902032833727834
(No Genre),1725,West Side Story,45,3.988888888888889,3.832286942824934,13.0,3.2902032833727834
(No Genre),900,Bringing Up Baby,30,4.066666666666666,3.8319219228801433,13.0,3.2902032833727834
(No Genre),585,"Monsters, Inc.",130,3.8846153846153846,3.830577920866057,13.0,3.2902032833727834
(No Genre),792,Platoon,68,3.9338235294117645,3.8305264528869896,13.0,3.2902032833727834
(No Genre),62,2001: A Space Odyssey,123,3.886178861788618,3.8292106079694572,13.0,3.2902032833727834
(No Genre),2649,The Game,76,3.9210526315789473,3.828906097571305,13.0,3.2902032833727834
(No Genre),120467,The Grand Budapest Hotel,35,4.0285714285714285,3.8285967225801283,13.0,3.2902032833727834
(No Genre),14160,Up,61,3.942622950819672,3.82800868491684,13.0,3.2902032833727834
(No Genre),767,Harry Potter and the Half-Blood Prince,29,4.068965517241379,3.8279200639010993,13.0,3.2902032833727834
(No Genre),161,Ocean's Eleven,130,3.8807692307692307,3.8270814173695538,13.0,3.2902032833727834
(No Genre),783,Gandhi,46,3.9782608695652173,3.8266549607431557,13.0,3.2902032833727834
(No Genre),32562,The Celluloid Closet,17,4.235294117647059,3.825754756128206,13.0,3.2902032833727834
(No Genre),1669,The Hunt for Red October,97,3.8969072164948453,3.82520584258042,13.0,3.2902032833727834
(No Genre),11072,Blazing Saddles,62,3.935483870967742,3.823635235784616,13.0,3.2902032833727834
(No Genre),286217,The Martian,25,4.1,3.8229642811538467,13.0,3.2902032833727834
(No Genre),11318,The Madness of King George,39,4.0,3.8225508208431958,13.0,3.2902032833727834
(No Genre),117,The Untouchables,78,3.91025641025641,3.8216773921301774,13.0,3.2902032833727834
(No Genre),3065,Mystery Science Theater 3000: The Movie,33,4.03030303030303,3.821144406170569,13.0,3.2902032833727834
(No Genre),68718,Django Unchained,44,3.977272727272727,3.820572678663968,13.0,3.2902032833727834
(No Genre),525,The Blues Brothers,94,3.893617021276596,3.8203050718116467,13.0,3.2902032833727834
(No Genre),14295,You Can Count on Me,16,4.25,3.8197462994429716,13.0,3.2902032833727834
(No Genre),786,Almost Famous,99,3.888888888888889,3.8193985953914837,13.0,3.2902032833727834
(No Genre),562,Die Hard,151,3.8642384105960264,3.8187356261210135,13.0,3.2902032833727834
(No Genre),949,Heat,104,3.8846153846153846,3.8185695955884285,13.0,3.2902032833727834
(No Genre),429,"The Good, the Bad and the Ugly",57,3.93859649122807,3.8181806097692315,13.0,3.2902032833727834
(No Genre),773,Little Miss Sunshine,76,3.9078947368421053,3.8176701425151256,13.0,3.2902032833727834
(No Genre),37799,The Social Network,43,3.9767441860465116,3.8173686193543963,13.0,3.2902032833727834
(No Genre),1900,Traffic,73,3.910958904109589,3.817123752137746,13.0,3.2902032833727834
(No Genre),522,Ed Wood,78,3.9038461538461537,3.816182886635672,13.0,3.2902032833727834
(No Genre),990,The Hustler,23,4.108695652173913,3.813128963440172,13.0,3.2902032833727834
(No Genre),746,The Last Emperor,31,4.032258064516129,3.81301460645105,13.0,3.2902032833727834
(No Genre),2501,The Bourne Identity,100,3.88,3.8121472803880194,13.0,3.2902032833727834
(No Genre),5925,The Great Escape,49,3.9489795918367347,3.8108490755459066,13.0,3.2902032833727834
(No Genre),4995,Boogie Nights,62,3.9193548387096775,3.8103019024512825,13.0,3.2902032833727834
(No Genre),152601,Her,25,4.08,3.809806386417005,13.0,3.2902032833727834
(No Genre),3529,The Thin Man,17,4.205882352941177,3.8090880894615395,13.0,3.2902032833727834
(No Genre),808,Shrek,174,3.8477011494252875,3.8089446132826,13.0,3.2902032833727834
(No Genre),8438,Murder in the First,22,4.113636363636363,3.8077897909670337,13.0,3.2902032833727834
(No Genre),9806,The Incredibles,126,3.861111111111111,3.80771685384062,13.0,3.2902032833727834
(No Genre),22,Pirates of the Caribbean: The Curse of the Black Pearl,141,3.854609929078014,3.8069652122327673,13.0,3.2902032833727834
(No Genre),4485,Diva,14,4.285714285714286,3.806394173475784,13.0,3.2902032833727834
(No Genre),143,All Quiet on the Western Front,14,4.285714285714286,3.806394173475784,13.0,3.2902032833727834
(No Genre),118340,Guardians of the Galaxy,37,3.9864864864864864,3.8054528536769237,13.0,3.2902032833727834
(No Genre),10404,Raise the Red Lantern,19,4.157894736842105,3.8053950838701933,13.0,3.2902032833727834
(No Genre),134,"O Brother, Where Art Thou?",96,3.875,3.8052536026040933,13.0,3.2902032833727834
(No Genre),335,Once Upon a Time in the West,16,4.21875,3.802504920132627,13.0,3.2902032833727834
(No Genre),431,Cube,21,4.119047619047619,3.8021365495248878,13.0,3.2902032833727834
(No Genre),303,Notorious,21,4.119047619047619,3.8021365495248878,13.0,3.2902032833727834
(No Genre),288,High Noon,21,4.119047619047619,3.8021365495248878,13.0,3.2902032833727834
(No Genre),1430,Bowling for Columbine,58,3.913793103448276,3.799614685687975,13.0,3.2902032833727834
(No Genre),9905,Shallow Grave,38,3.973684210526316,3.7994635820362,13.0,3.2902032833727834
(No Genre),137,Groundhog Day,165,3.8393939393939394,3.7992845094598104,13.0,3.2902032833727834
(No Genre),11040,Little Big Man,18,4.166666666666667,3.7991175059305227,13.0,3.2902032833727834
(No Genre),199,Star Trek: First Contact,82,3.8780487804878048,3.797606765093118,13.0,3.2902032833727834
(No Genre),146,"Crouching Tiger, Hidden Dragon",114,3.8552631578947367,3.7974223833373713,13.0,3.2902032833727834
(No Genre),840,Close Encounters of the Third Kind,62,3.903225806451613,3.796968569117949,13.0,3.2902032833727834
(No Genre),2028,Say Anything...,47,3.9361702127659575,3.7962107113974364,13.0,3.2902032833727834
(No Genre),891,All the President's Men,20,4.125,3.7961406873892782,13.0,3.2902032833727834
(No Genre),272,Batman Begins,105,3.857142857142857,3.7946834125749676,13.0,3.2902032833727834
(No Genre),9040,Serpico,27,4.037037037037037,3.7943160670961547,13.0,3.2902032833727834
(No Genre),9267,And Now for Something Completely Different,22,4.090909090909091,3.7935040766813195,13.0,3.2902032833727834
(No Genre),319,True Romance,70,3.8857142857142857,3.7924414781186293,13.0,3.2902032833727834
(No Genre),863,Toy Story 2,125,3.844,3.791830744085842,13.0,3.2902032833727834
(No Genre),11386,The Crying Game,50,3.92,3.7900419473626377,13.0,3.2902032833727834
(No Genre),20283,Breaking Away,19,4.131578947368421,3.7897700838701933,13.0,3.2902032833727834
