date,n_ratings,avg_rating
2005-01-01,444,3.7128378378378377
2005-02-01,333,3.8618618618618616
2005-03-01,2113,3.670137245622338
2005-04-01,1378,3.643323657474601
2005-05-01,422,3.571090047393365
2005-06-01,377,3.452254641909814
2005-07-01,219,3.538812785388128
2005-08-01,162,3.549382716049383
2005-09-01,488,3.7540983606557377
2005-10-01,434,3.6255760368663594
2005-11-01,537,3.3854748603351954
2005-12-01,255,3.296078431372549
2006-01-01,574,3.6132404181184667
2006-02-01,958,3.508872651356994
2006-03-01,531,3.268361581920904
2006-04-01,814,3.888820638820639
2006-05-01,1133,3.560017652250662
2006-06-01,246,3.4939024390243905
2006-07-01,611,3.18657937806874
2006-08-01,726,3.713498622589532
2006-09-01,232,3.2952586206896552
2006-10-01,122,3.4959016393442623
2006-11-01,484,3.559917355371901
2006-12-01,1065,3.566666666666667
2007-01-01,133,3.3909774436090228
2007-02-01,315,3.665079365079365
2007-03-01,249,3.540160642570281
2007-04-01,92,3.744565217391304
2007-05-01,104,3.3076923076923075
2007-06-01,114,2.9078947368421053
2007-07-01,238,3.3949579831932772
2007-08-01,45,3.3777777777777778
2007-09-01,57,3.508771929824561
2007-10-01,30,2.9
2007-11-01,113,3.6283185840707963
2007-12-01,56,3.4375
2008-01-01,346,3.302023121387283
2008-02-01,158,3.9588607594936707
2008-03-01,46,3.2282608695652173
2008-04-01,224,3.8348214285714284
2008-05-01,23,3.282608695652174
2008-06-01,276,3.5615942028985508
2008-07-01,516,3.5416666666666665
2008-08-01,766,3.196475195822454
2008-09-01,84,3.380952380952381
2008-10-01,306,3.9591503267973858
2008-11-01,451,3.854767184035477
2008-12-01,473,3.214587737843552
2009-01-01,506,3.508893280632411
2009-02-01,281,3.704626334519573
2009-03-01,205,3.65609756097561
2009-04-01,635,3.3763779527559055
2009-05-01,170,3.208823529411765
2009-06-01,222,3.56981981981982
2009-07-01,44,3.215909090909091
2009-08-01,84,3.5654761904761907
2009-09-01,98,3.2091836734693877
2009-10-01,818,3.099633251833741
2009-11-01,190,3.3157894736842106
2009-12-01,172,2.5697674418604652
2010-01-01,97,3.6752577319587627
2010-02-01,50,3.46
2010-03-01,304,3.6315789473684212
2010-04-01,397,3.9974811083123427
2010-05-01,342,3.9078947368421053
2010-06-01,193,3.6761658031088085
2010-07-01,65,3.792307692307692
2010-08-01,256,3.544921875
2010-09-01,206,4.177184466019417
2010-10-01,121,3.227272727272727
2010-11-01,36,3.5833333333333335
2010-12-01,439,3.4533029612756265
2011-01-01,1419,3.0458069062720226
2011-02-01,304,3.0953947368421053
2011-03-01,290,3.763793103448276
2011-04-01,228,3.8267543859649122
2011-05-01,372,3.78494623655914
2011-06-01,297,3.8215488215488214
2011-07-01,295,3.3915254237288135
2011-08-01,96,3.2552083333333335
2011-09-01,530,3.560377358490566
2011-10-01,254,3.6023622047244093
2011-11-01,220,3.456818181818182
2011-12-01,138,3.253623188405797
2012-01-01,132,3.75
2012-02-01,145,3.6758620689655173
2012-03-01,81,3.6790123456790123
2012-04-01,89,3.544943820224719
2012-05-01,332,3.5240963855421685
2012-06-01,901,3.19811320754717
2012-07-01,344,3.86046511627907
2012-08-01,739,4.022327469553451
2012-09-01,179,3.223463687150838
2012-10-01,164,3.7652439024390243
2012-11-01,571,3.6943957968476355
2012-12-01,152,3.539473684210526
2013-01-01,204,3.4926470588235294
2013-02-01,408,3.801470588235294
2013-03-01,57,3.543859649122807
2013-04-01,240,3.8520833333333333
2013-05-01,137,3.2518248175182483
2013-06-01,426,3.2699530516431925
2013-07-01,54,2.888888888888889
2013-08-01,22,3.090909090909091
2013-09-01,241,3.736514522821577
2013-10-01,33,3.787878787878788
2013-11-01,29,3.3448275862068964
2013-12-01,111,3.9414414414414414
2014-01-01,174,3.9080459770114944
2014-02-01,309,3.3058252427184467
2014-03-01,204,3.497549019607843
2014-04-01,85,3.3294117647058825
2014-05-01,120,3.720833333333333
2014-06-01,58,3.853448275862069
2014-07-01,154,3.7954545454545454
2014-08-01,300,3.7666666666666666
2014-09-01,117,3.6153846153846154
2014-10-01,121,2.9545454545454546
2014-11-01,316,2.5522151898734178
2014-12-01,263,3.6311787072243344
2015-01-01,108,3.7314814814814814
2015-02-01,420,4.119047619047619
2015-03-01,270,3.8
2015-04-01,163,3.6533742331288344
2015-05-01,215,3.7627906976744185
2015-06-01,674,2.742581602373887
2015-07-01,1582,3.8732616940581543
2015-08-01,324,3.868827160493827
2015-09-01,875,3.6365714285714286
2015-10-01,157,3.8312101910828025
2015-11-01,1399,3.4024303073624016
2015-12-01,382,3.7866492146596857
2016-01-01,289,3.7612456747404845
2016-02-01,361,3.1800554016620497
2016-03-01,295,3.476271186440678
2016-04-01,554,3.3799638989169676
2016-05-01,1526,3.097313237221494
2016-06-01,823,3.606318347509113
2016-07-01,772,4.051165803108808
2016-08-01,1136,2.90625
2016-09-01,144,3.5555555555555554
2016-10-01,301,3.9551495016611296
